ID,우선순위,작업,담당,선행계약,상태
X01,P0,이름 대신 안정된 학습자 ID,DATA,기존 공통 디자인 계약,추가 설계; 미구현
X02,P0,명렬표 보관·복원·이름 변경 분리,DATA,X01,추가 설계; 미구현
X03,P0,녹음 세션·타이머·늦은 응답 격리,AUDIO,기존 공통 디자인 계약,추가 설계; 미구현
X04,P0,퀘스트 보상 미지급 복구,DATA,권위 지급 계약,추가 설계; 미구현
X05,P1,교실 날짜 기반 퀘스트 갱신,DATA,X04,추가 설계; 미구현
X06,P1,하트 소진 후 무제한 연습,LEARN,도전·연습 정책,추가 설계; 미구현
X07,P1,오늘 고를 활동,LEARN,기존 공통 디자인 계약,추가 설계; 미구현
X08,P1,힌트 단계가 있는 오답 복습,LEARN,기존 공통 디자인 계약,추가 설계; 미구현
X09,P1,개인 성장 포트폴리오,LEARN,X01,추가 설계; 미구현
X10,P1,그림책 몰입 읽기,READ,기존 공통 디자인 계약,추가 설계; 미구현
X11,P1,그림책에서 내 경험 표현,READ,기존 공통 디자인 계약,추가 설계; 미구현
X12,P1,발음 다시 말하기 힌트,AUDIO,X03,추가 설계; 미구현
X13,P1,생활 통역 카드,AUDIO,X19,추가 설계; 미구현
X14,P1,토론 차례와 패스권,CLASS,기존 공통 디자인 계약,추가 설계; 미구현
X15,P1,그리기 복구 통일,CLASS,기존 공통 디자인 계약,추가 설계; 미구현
X16,P1,교사 수업 운영 한 화면,CLASS,X01,추가 설계; 미구현
X17,P1,통합 확인함,CLASS,X21,추가 설계; 미구현
X18,P1,공용 태블릿 사용자 전환,DATA,X01,추가 설계; 미구현
X19,P1,소리·움직임·집중 설정,AUDIO,기존 공통 디자인 계약,추가 설계; 미구현
X20,P1,이어하기·저장 상태,DATA,X18;X21,추가 설계; 미구현
X21,P1,비동기 작업·재시도 통일,DATA,기존 공통 디자인 계약,추가 설계; 미구현
X22,P1,콘텐츠 품질 대장,CONTENT,기존 공통 디자인 계약,추가 설계; 미구현
X23,P1,서버 권한 경계 검증,DATA,기존 공통 디자인 계약,추가 설계; 미구현
X24,P2,공동 정원,WORLD,X04,추가 설계; 미구현
X25,P2,자기표현 개인 공간,WORLD,기존 render plan,추가 설계; 미구현
X26,P2,감정 이야기,CONTENT,기존 공통 디자인 계약,추가 설계; 미구현
X27,P2,교사 제작 꾸러미,CLASS,X22,추가 설계; 미구현
X28,P2,저속 연결 활동,DATA,X18;X21,추가 설계; 미구현
X29,P2,첫 사용 연습방,CLASS,격리 fixture,추가 설계; 미구현
X30,P1,번들·회복성 출시 예산,QA,각 작업 통합,추가 설계; 미구현
